img,acc,iou,acc_crf,iou_crf
../../tmm_dataset_sharing/datasets/test/image\183436.jpg,95.3825,81.7493490817,96.7366666667,88.2788688614
../../tmm_dataset_sharing/datasets/test/image\183956.jpg,90.4858333333,64.1521942029,91.2608333333,66.0616071272
../../tmm_dataset_sharing/datasets/test/image\184076.jpg,95.06125,83.4913976788,95.5133333333,84.4588094314
../../tmm_dataset_sharing/datasets/test/image\184475.jpg,93.4758333333,81.7569739779,94.75625,84.6003787338
../../tmm_dataset_sharing/datasets/test/image\184559.jpg,93.9183333333,77.5134059018,94.25875,78.8286713287
../../tmm_dataset_sharing/datasets/test/image\184658.jpg,89.855,48.7926906262,90.155,48.8532610012
../../tmm_dataset_sharing/datasets/test/image\184671.jpg,89.51,49.5846949082,90.5795833333,55.4555363682
../../tmm_dataset_sharing/datasets/test/image\184804.jpg,92.3504166667,60.1041483233,92.7241666667,59.9262414295
../../tmm_dataset_sharing/datasets/test/image\184826.jpg,88.81375,49.3324700151,88.51625,46.7298460004
../../tmm_dataset_sharing/datasets/test/image\185145.jpg,95.2591666667,78.855970777,96.5295833333,84.2010914578
../../tmm_dataset_sharing/datasets/test/image\185281.jpg,90.545,60.0677981123,92.4308333333,64.9084612695
../../tmm_dataset_sharing/datasets/test/image\185284.jpg,93.5529166667,74.2737045343,94.1954166667,76.9528009873
../../tmm_dataset_sharing/datasets/test/image\185315.jpg,94.7620833333,77.5992983914,94.0858333333,72.261604251
../../tmm_dataset_sharing/datasets/test/image\185385.jpg,94.9208333333,81.9049698317,95.9233333333,85.1300408971
../../tmm_dataset_sharing/datasets/test/image\185438.jpg,90.8479166667,66.1527623209,89.28125,58.0073708016
../../tmm_dataset_sharing/datasets/test/image\185449.jpg,94.1695833333,70.8105848524,96.3558333333,82.44577431
../../tmm_dataset_sharing/datasets/test/image\185592.jpg,94.1695833333,74.8808498769,95.6154166667,81.9950772094
../../tmm_dataset_sharing/datasets/test/image\185654.jpg,90.4725,52.6521764602,92.26125,60.803114067
../../tmm_dataset_sharing/datasets/test/image\185747.jpg,82.7245833333,42.4086992204,81.8895833333,38.7655883319
../../tmm_dataset_sharing/datasets/test/image\185787.jpg,91.8154166667,55.0768267783,91.5191666667,52.9790893164
../../tmm_dataset_sharing/datasets/test/image\186042.jpg,93.9866666667,80.2549392201,94.8916666667,83.8683119872
../../tmm_dataset_sharing/datasets/test/image\186083.jpg,95.9258333333,87.0501464639,96.74625,90.3571460199
../../tmm_dataset_sharing/datasets/test/image\186282.jpg,88.83625,56.6172085042,90.2325,60.0960384154
../../tmm_dataset_sharing/datasets/test/image\186745.jpg,90.6758333333,56.2107795853,91.8675,61.0526773296
../../tmm_dataset_sharing/datasets/test/image\186880.jpg,89.4016666667,41.2850207281,89.6383333333,41.8746344317
../../tmm_dataset_sharing/datasets/test/image\186891.jpg,93.155,78.9963777719,92.9495833333,78.4891897041
../../tmm_dataset_sharing/datasets/test/image\186913.jpg,95.8729166667,82.749530873,96.8666666667,87.2231302485
../../tmm_dataset_sharing/datasets/test/image\186968.jpg,84.6108333333,31.7171540473,82.8379166667,22.9120031836
../../tmm_dataset_sharing/datasets/test/image\187016.jpg,95.0633333333,84.0069543474,96.1779166667,88.5984641258
../../tmm_dataset_sharing/datasets/test/image\187097.jpg,87.2045833333,45.0930302726,87.0416666667,43.1631951922
../../tmm_dataset_sharing/datasets/test/image\187150.jpg,93.53375,74.6317981031,94.8954166667,78.7952853031
../../tmm_dataset_sharing/datasets/test/image\187882.jpg,90.09875,66.3442052856,91.3195833333,68.6419179945
../../tmm_dataset_sharing/datasets/test/image\187996.jpg,89.7304166667,69.7577371339,92.1116666667,77.3980970079
../../tmm_dataset_sharing/datasets/test/image\188171.jpg,91.3645833333,82.3105527832,94.0029166667,88.533087818
../../tmm_dataset_sharing/datasets/test/image\188262.jpg,92.8325,73.2690179941,96.3691666667,88.8906195242
../../tmm_dataset_sharing/datasets/test/image\188845.jpg,94.1291666667,70.0237262737,94.6341666667,72.7380029002
../../tmm_dataset_sharing/datasets/test/image\18885.jpg,95.0058333333,79.4350206123,95.29,80.6484084835
../../tmm_dataset_sharing/datasets/test/image\188983.jpg,93.6495833333,85.2035905182,93.57375,84.9483116197
../../tmm_dataset_sharing/datasets/test/image\189145.jpg,94.65875,75.9914575057,94.1141666667,73.6522399393
../../tmm_dataset_sharing/datasets/test/image\189146.jpg,94.8766666667,73.055157085,95.9875,79.4798785118
